song_name,duration_ms,popularity,preview_url,artists,album_name,album_type,release_date,total_tracks,album_cover_url
"Jump up Super Star (From ""Super Mario Odyssey"")",259025,45,https://p.scdn.co/mp3-preview/887e3b76858e029c34e88314d64dbee230e043f4?cid=38e2a4a43dbf4f63a749947cbcb26e74,The 8-Bit Big Band,Backwards Compatible,album,2021-01-08,14,https://i.scdn.co/image/ab67616d0000b273378ddd64ff59f08fe59c9525
Five Nights At Freddy's - Toreador March (Epic Trailer Version),190000,37,https://p.scdn.co/mp3-preview/c98db3bb5d8b82e5e1ffe5e0979582c5b058c07c?cid=38e2a4a43dbf4f63a749947cbcb26e74,Georges Bizet,Five Nights At Freddy's - Toreador March (Epic Trailer Version),single,2023-07-17,1,https://i.scdn.co/image/ab67616d0000b273ac3a3d5f13d030ebce4bdcea
"Swan Lake, Op. 20 Act II: Scène - Moderato",174519,9,https://p.scdn.co/mp3-preview/b0c0b2eee9ffd3c0578155eb23338e0e36bcd8cd?cid=38e2a4a43dbf4f63a749947cbcb26e74,Pyotr Ilyich Tchaikovsky,Tchaikovsky Ballet Music,album,2024-01-12,28,https://i.scdn.co/image/ab67616d0000b273040dbbf37614cbebc92becca
isabella's lullaby (the promised neverland),77000,37,https://p.scdn.co/mp3-preview/5fcaf4aa55034af72ca182de97a0faad23cc340a?cid=38e2a4a43dbf4f63a749947cbcb26e74,kohto,anime x piano,album,2022-10-14,24,https://i.scdn.co/image/ab67616d0000b273d4be4a81994373b7606598fc
"Moonlight Densetsu (From ""Sailor Moon"") [Instrumental]",139065,42,https://p.scdn.co/mp3-preview/2b8fc8a9cb95cad844a119fd904afaddde87f44e?cid=38e2a4a43dbf4f63a749947cbcb26e74,Harpsona,"Moonlight Densetsu (From ""Sailor Moon"") [Instrumental]",single,2019-01-25,1,https://i.scdn.co/image/ab67616d0000b2733bc0111aec5e2ceb77d3c415
"Baka Mitai (from ""Yakuza"")",118994,13,https://p.scdn.co/mp3-preview/0cfed313590f0a56aa9468e1a9c233989e0af9b2?cid=38e2a4a43dbf4f63a749947cbcb26e74,Mr. Goatee,"Baka Mitai (from ""Yakuza"")",single,2020-10-09,1,https://i.scdn.co/image/ab67616d0000b2738f04dfa26e818a345570be02
Auf Der Heide Blüht Ein Kleines Blümelein (Erika),127053,40,https://p.scdn.co/mp3-preview/c1fee33fa44a42ffe4f92a169065171a72088222?cid=38e2a4a43dbf4f63a749947cbcb26e74,Various Artists,Militär Märsche Vol. 4,compilation,2011-06-17,15,https://i.scdn.co/image/ab67616d0000b2738a3a609f18a23c12538c3437
Happy Birthday To You - Classic Version,33215,50,https://p.scdn.co/mp3-preview/99408a443267912b5a26d29f57bee3d90d0ae0cb?cid=38e2a4a43dbf4f63a749947cbcb26e74,Happy Birthday Songs,"Happy Birthday To You - Best Playlist of Happy Birthday Songs, Vol. 1",single,2021-02-12,20,https://i.scdn.co/image/ab67616d0000b2734838420464683f253cd67b57
Touch You,206180,64,https://p.scdn.co/mp3-preview/47d25b2a6eefc0050a18afa3dc559998445fd4ef?cid=38e2a4a43dbf4f63a749947cbcb26e74,私立モリモーリ学園 性春▽男子s,アニメ『ヤリチン☆ビッチ部』主題歌「Touch You」,single,2018-08-15,10,https://i.scdn.co/image/ab67616d0000b273a7dbc6831edfb086ba190a7a
THE WORLD REVOLVING,101052,61,https://p.scdn.co/mp3-preview/ed909b4feb44ded46f57a4310fc89e5e064b7670?cid=38e2a4a43dbf4f63a749947cbcb26e74,Toby Fox,DELTARUNE Chapter 1 (Original Game Soundtrack),album,2018-11-01,40,https://i.scdn.co/image/ab67616d0000b27306f2539e9993e43ae9adcc69
"It's a Small World - From ""It's a Small World""",182893,51,,Various Artists,Disney's Greatest Volume 2,compilation,2001-01-01,20,https://i.scdn.co/image/ab67616d0000b2736ce1c738f8335ec6643eadfd
