采购计划号,组织,客户,单据状态,创建时间,审核时间,创建人,贸易方式,默认币别,销售-人民币汇率汇率,人民币-美元汇率,利润率,采购子计划号,SKU,英文名,数量(pcs),数量(unit),海外仓入库商家,工厂,工厂英文名,工厂英文地址,工厂完工时间,采购计划ETD,四字简码,工厂单价(pcs),采购单价(pcs),采购单价(unit),采购总额,销售-美元汇率,销售单价(pcs),销售单价(unit),销售总金额(原币),销售总金额(USD),目的仓库,装运港,目的港,目的港国家,海关编码,退税率%,退税额,PC,CTN,总箱数,单件净重,单件毛重,单件体积M3,客人SKU,总净重,总毛重,总体积,对外货号,产品尺寸,佣金方法,结算类型,扣佣率%,扣佣,付佣率%,付佣,设计佣金率%,设计佣金,平台佣金率%,平台佣金(USD),佣金总额(USD),预计拖柜时间,颜色,中文货描,英文货描,MX code,PO#1,PO#2,barcode01,barcode02
R22GX-A81002,状元坊,Home Depot Product Authority LLC,新增,2022-03-16 16:51:23,,ZYF_JDB_GX,自营,美元,6.35,0.1575,,R22GX-A81002F01,600014488,LUNON GREY,50,25,,安吉县迪亚办公家具有限公司,安吉县迪亚办公家具有限公司,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,9401619000,0.13,0.0,2,1,25,10.0,18.0,0.138,,250.0,450.0,3.45,LUNON GREY,46*60*95cm,,,0.0,0.0,0.0,0.0,0.02,0.0,0.002,0.0,0.0,,灰色,"餐椅,尺寸:W46*D60*H50/95CM;拆装结构。松木框架，橡胶木脚，座垫底部：3条松紧带+3条弹簧。海绵:美标新棉；面料：灰色；木腿颜色：walnut(阿克苏油漆);包装:36*97*49CM,2件/箱，200磅纸箱，通过ISTA-3A摔箱包装测试要求。",2 pk tufted upholstered curved back dining chairs in walnut with aloe fabric Cover material:    fabric 28/M                    Frame:   solid wood    solid  wood legs with   AKZONOBEL Painting                                                                      Filling:  new  foam                                     Construction is:  KD,,,,,
R22GX-A81002,状元坊,Home Depot Product Authority LLC,新增,2022-03-16 16:51:23,,ZYF_JDB_GX,自营,美元,6.35,0.1575,,R22GX-A81002F02,600009833,NUTTON WALNUT BISCUIT,240,120,ZYF_JDB_GX,安吉县迪亚办公家具有限公司,安吉县迪亚办公家具有限公司,,2022-06-15 00:00:00,2022-06-15 00:00:00,,,273.0,,65520.0,1.0,58.86,,14126.4,14126.4,Traditional,宁波,美国,US,9401619000,0.13,8517.6,2,1,120,5.7,6.4,0.26,,684.0,768.0,31.2,,55.5*59.5*92cm,FOB佣金率,人民币出厂含税结算,0.175,2472.12,0.0,0.0,0.02,282.53,0.002,28.25,2782.9,,米黄色,"餐椅：尺寸：W55.5*D59.5*H51.48/92CM;拆装结构。松木框架，橡胶木脚，座垫底部：5条松紧带+3条弹簧。海绵:美标新棉，面料：solartex CP0218-15 (Biscuit)，木腿颜色：walnut(阿克苏油漆);包装:58*76*59CM,2件/箱；200磅纸箱，通过ISTA-3A摔箱包装测试要求。",2 pk upholstered tufted back dining chair in walnut with aloe fabric,,5.3190759E7,,,
R22GX-A81002,状元坊,Home Depot Product Authority LLC,新增,2022-03-16 16:51:23,,ZYF_JDB_GX,自营,美元,6.35,0.1575,,R22GX-A81002F03,800018864,DEZERBI BEIGE,100,100,ZYF_JDB_GX,安吉县迪亚办公家具有限公司,安吉县迪亚办公家具有限公司,,2022-06-15 00:00:00,2022-06-15 00:00:00,,,440.0,,109520.0,1.0,85.14,,22640.4,22640.4,Traditional,宁波,美国,US,9401619000,0.13,14237.6,1,1,220,17.5,21.1,0.266,,2434.0,2878.0,57.8,,75*74*84cm,FOB佣金率,人民币出厂含税结算,0.175,3962.07,0.0,0.0,0.02,452.81,0.002,45.28,4460.16,,浅米色,"Accent Chair，尺寸：W75*D74*H84CM;拆装结构。松木框架，棕色（HONEY）橡胶木腿，面料：CPO225-6 Riverbed;海绵就是美标海绵;包装:76*71.5*49CM,1件/箱；200磅纸箱，通过ISTA-3A摔箱包装测试要求。",Stylewell accent chair sub5,,5.3190759E7,,,
R22GX-A81002,状元坊,Home Depot Product Authority LLC,新增,2022-03-16 16:51:23,,ZYF_JDB_GX,自营,美元,6.35,0.1575,,R22GX-A81002F04,600009833,NUTTON WALNUT BISCUIT,480,240,ZYF_JDB_GX,安吉县迪亚办公家具有限公司,安吉县迪亚办公家具有限公司,,2022-06-15 00:00:00,2022-06-15 00:00:00,,,273.0,,240560.0,1.0,58.86,,50893.2,50893.2,Traditional,宁波,美国,US,9401619000,0.13,31272.8,2,1,460,5.7,6.4,0.26,,3802.0,4414.0,120.2,,55.5*59.5*92cm,FOB佣金率,人民币出厂含税结算,0.175,8906.31,0.0,0.0,0.02,1017.86,0.002,101.79,10025.96,,米黄色,"餐椅：尺寸：W55.5*D59.5*H51.48/92CM;拆装结构。松木框架，橡胶木脚，座垫底部：5条松紧带+3条弹簧。海绵:美标新棉，面料：solartex CP0218-15 (Biscuit)，木腿颜色：walnut(阿克苏油漆);包装:58*76*59CM,2件/箱；200磅纸箱，通过ISTA-3A摔箱包装测试要求。",2 pk upholstered tufted back dining chair in walnut with aloe fabric,,5.319076E7,,,
R22GX-A81002,状元坊,Home Depot Product Authority LLC,新增,2022-03-16 16:51:23,,ZYF_JDB_GX,自营,美元,6.35,0.1575,,R22GX-A81002F05,400009832,NUTTON HIGH BAR WALNUT ALOE,200,100,ZYF_JDB_GX,安吉县迪亚办公家具有限公司,安吉县迪亚办公家具有限公司,,2022-06-15 00:00:00,2022-06-15 00:00:00,,,343.4,,309240.0,1.0,72.09,,65311.2,65311.2,Traditional,宁波,美国,US,9401690090,0.13,40201.2,2,1,560,10.0,12.0,0.296,,4802.0,5614.0,149.8,,55.5*60*119cm,FOB佣金率,人民币出厂含税结算,0.175,11429.46,0.0,0.0,0.02,1306.22,0.002,130.62,12866.3,,绿色,"高吧，尺寸：W55.5*D60*H79/119CM,拆装结构。松木框架，橡胶木脚，座垫底部：5条松紧带+3条弹簧。海绵:美标新棉，面料solartex CP0218-5 (Aloe)，木腿颜色：walnut(阿克苏油漆);包装:59*76*66CM,2件/箱;250磅纸箱，通过ISTA-3A摔箱包装测试要求。
TO QC:BMC的数据用200磅，实际大货纸箱是250磅",2 pk upholstered tufted back HIGH barstool in walnut with aloe fabric,,5.3190761E7,,,
R22GX-A81002,状元坊,Home Depot Product Authority LLC,新增,2022-03-16 16:51:23,,ZYF_JDB_GX,自营,美元,6.35,0.1575,,R22GX-A81002F06,600009833,NUTTON WALNUT BISCUIT,280,140,ZYF_JDB_GX,安吉县迪亚办公家具有限公司,安吉县迪亚办公家具有限公司,,2022-06-15 00:00:00,2022-06-15 00:00:00,,,273.0,,385680.0,1.0,58.86,,81792.0,81792.0,Traditional,宁波,美国,US,9401619000,0.13,50138.4,2,1,700,5.7,6.4,0.26,,5600.0,6510.0,186.2,,55.5*59.5*92cm,FOB佣金率,人民币出厂含税结算,0.175,14313.6,0.0,0.0,0.02,1635.84,0.002,163.58,16113.02,,米黄色,"餐椅：尺寸：W55.5*D59.5*H51.48/92CM;拆装结构。松木框架，橡胶木脚，座垫底部：5条松紧带+3条弹簧。海绵:美标新棉，面料：solartex CP0218-15 (Biscuit)，木腿颜色：walnut(阿克苏油漆);包装:58*76*59CM,2件/箱；200磅纸箱，通过ISTA-3A摔箱包装测试要求。",2 pk upholstered tufted back dining chair in walnut with aloe fabric,,5.3190761E7,,,
R22GX-A81002,状元坊,Home Depot Product Authority LLC,新增,2022-03-16 16:51:23,,ZYF_JDB_GX,自营,美元,6.35,0.1575,,R22GX-A81002F07,600009833,NUTTON WALNUT BISCUIT,240,120,ZYF_JDB_GX,安吉县迪亚办公家具有限公司,安吉县迪亚办公家具有限公司,,2022-06-15 00:00:00,2022-06-15 00:00:00,,,273.0,,65520.0,1.0,58.86,,14126.4,14126.4,Traditional,宁波,美国,US,9401619000,0.13,8517.6,2,1,120,5.7,6.4,0.26,,684.0,768.0,31.2,,55.5*59.5*92cm,FOB佣金率,人民币出厂含税结算,0.175,2472.12,0.0,0.0,0.02,282.53,0.002,28.25,2782.9,,米黄色,"餐椅：尺寸：W55.5*D59.5*H51.48/92CM;拆装结构。松木框架，橡胶木脚，座垫底部：5条松紧带+3条弹簧。海绵:美标新棉，面料：solartex CP0218-15 (Biscuit)，木腿颜色：walnut(阿克苏油漆);包装:58*76*59CM,2件/箱；200磅纸箱，通过ISTA-3A摔箱包装测试要求。",2 pk upholstered tufted back dining chair in walnut with aloe fabric,,5.3190759E7,,,
R22GX-A81002,状元坊,Home Depot Product Authority LLC,新增,2022-03-16 16:51:23,,ZYF_JDB_GX,自营,美元,6.35,0.1575,,R22GX-A81002F08,800018864,DEZERBI BEIGE,100,100,ZYF_JDB_GX,安吉县迪亚办公家具有限公司,安吉县迪亚办公家具有限公司,,2022-06-15 00:00:00,2022-06-15 00:00:00,,,440.0,,109520.0,1.0,85.14,,22640.4,22640.4,Traditional,宁波,美国,US,9401619000,0.13,14237.6,1,1,220,17.5,21.1,0.266,,2434.0,2878.0,57.8,,75*74*84cm,FOB佣金率,人民币出厂含税结算,0.175,3962.07,0.0,0.0,0.02,452.81,0.002,45.28,4460.16,,浅米色,"Accent Chair，尺寸：W75*D74*H84CM;拆装结构。松木框架，棕色（HONEY）橡胶木腿，面料：CPO225-6 Riverbed;海绵就是美标海绵;包装:76*71.5*49CM,1件/箱；200磅纸箱，通过ISTA-3A摔箱包装测试要求。",Stylewell accent chair sub5,,5.3190759E7,,,
R22GX-A81002,状元坊,Home Depot Product Authority LLC,新增,2022-03-16 16:51:23,,ZYF_JDB_GX,自营,美元,6.35,0.1575,,R22GX-A81002F09,600009833,NUTTON WALNUT BISCUIT,480,240,ZYF_JDB_GX,安吉县迪亚办公家具有限公司,安吉县迪亚办公家具有限公司,,2022-06-15 00:00:00,2022-06-15 00:00:00,,,273.0,,240560.0,1.0,58.86,,50893.2,50893.2,Traditional,宁波,美国,US,9401619000,0.13,31272.8,2,1,460,5.7,6.4,0.26,,3802.0,4414.0,120.2,,55.5*59.5*92cm,FOB佣金率,人民币出厂含税结算,0.175,8906.31,0.0,0.0,0.02,1017.86,0.002,101.79,10025.96,,米黄色,"餐椅：尺寸：W55.5*D59.5*H51.48/92CM;拆装结构。松木框架，橡胶木脚，座垫底部：5条松紧带+3条弹簧。海绵:美标新棉，面料：solartex CP0218-15 (Biscuit)，木腿颜色：walnut(阿克苏油漆);包装:58*76*59CM,2件/箱；200磅纸箱，通过ISTA-3A摔箱包装测试要求。",2 pk upholstered tufted back dining chair in walnut with aloe fabric,,5.319076E7,,,
R22GX-A81002,状元坊,Home Depot Product Authority LLC,新增,2022-03-16 16:51:23,,ZYF_JDB_GX,自营,美元,6.35,0.1575,,R22GX-A81002F10,400009832,NUTTON HIGH BAR WALNUT ALOE,200,100,ZYF_JDB_GX,安吉县迪亚办公家具有限公司,安吉县迪亚办公家具有限公司,,2022-06-15 00:00:00,2022-06-15 00:00:00,,,343.4,,309240.0,1.0,72.09,,65311.2,65311.2,Traditional,宁波,美国,US,9401690090,0.13,40201.2,2,1,560,10.0,12.0,0.296,,4802.0,5614.0,149.8,,55.5*60*119cm,FOB佣金率,人民币出厂含税结算,0.175,11429.46,0.0,0.0,0.02,1306.22,0.002,130.62,12866.3,,绿色,"高吧，尺寸：W55.5*D60*H79/119CM,拆装结构。松木框架，橡胶木脚，座垫底部：5条松紧带+3条弹簧。海绵:美标新棉，面料solartex CP0218-5 (Aloe)，木腿颜色：walnut(阿克苏油漆);包装:59*76*66CM,2件/箱;250磅纸箱，通过ISTA-3A摔箱包装测试要求。
TO QC:BMC的数据用200磅，实际大货纸箱是250磅",2 pk upholstered tufted back HIGH barstool in walnut with aloe fabric,,5.3190761E7,,,
