SPU,包装尺寸,包装实重(KGS),Shipping Cost ($)
AAREN PATTERN A,77.00*74.50*67.00,14.0,14.495871999999999
ALDRED YELLOW,76.00*49.00*48.00,14.25,14.716334
AOKELAN OCCASIONAL CHAIR YELLOW,66.00*60.00*47.50,10.0,15.96848
BESSEMER BROWN LEAF,92.00*31.00*63.00,17.6,17.670524800000003
BESSEMER GREEN LEAF,92.00*31.00*63.00,17.6,17.670524800000003
CONTENTO PINK,75.00*72.00*60.50,14.5,14.936796
DIXIER BEIGE,72.50*64.00*50.00,9.3,15.351186400000001
DIXIER DARK GREY,72.50*64.00*50.00,9.3,15.351186400000001
DOUMBIA DGREEN A,81.00*74.00*41.00,11.5,17.291252
DOUMBIA SIENNA A,81.00*74.00*41.00,11.5,17.291252
DUGAN BLUE,75.00*67.00*48.50,23.0,17.432503999999998
DUKE ARM BROWN PU 2PCS,70.00*58.50*52.50,16.3,16.5241224
DUKE BLACK 2PCS,64.00*57.00*55.00,16.0,16.259567999999998
DUKE BROWN 2PCS,64.00*57.00*55.00,16.0,16.259567999999998
ELLIOT,83.50*73.50*77.50,20.3,20.051514400000002
ELLIOT PATTERN A,83.50*73.50*77.50,20.3,20.051514400000002
EPPING KD BLUE,75.00*68.50*36.00,15.0,15.37772
EPPING KD FABRIC JOINT,75.00*68.50*35.00,15.0,15.37772
ERIQ  SY,110.00*77.00*31.50,24.3,18.5789064
FALETTE BEIGE,67.00*70.50*62.00,11.3,17.1148824
FALETTE GREEN,72.00*68.50*63.00,11.3,17.1148824
FUCHS IVORY,75.00*68.50*35.00,16.0,16.259567999999998
FUNKEL VELVET BLUE,75.00*68.50*31.50,11.0,16.850328
FUNKEL VELVET GREEN,75.00*68.50*31.50,11.0,16.850328
GLOBE BLUSH,70.00*64.00*50.50,9.5,15.527556
GLOBE GREY,70.00*64.00*50.50,9.5,15.527556
GLOBE TEAL GREEN,70.00*64.00*50.50,9.5,15.527556
HARKLESS BEIGE,68.50*76.00*57.00,27.0,20.959896
HARKLESS ORANGE,68.50*76.00*57.00,27.0,20.959896
HUTTER BLUE,72.00*69.00*69.00,11.6,17.3794368
HUTTER GINGER,72.00*69.00*69.00,11.6,17.3794368
HUTTER GREEN,72.00*69.00*69.00,11.6,17.3794368
IRIS TAUPE,75.00*68.50*35.00,14.0,14.495871999999999
JOVANNI PATTERN B,75.00*73.00*56.00,20.8,20.4924384
KAS FABRIC GREEN 2022,68.00*32.00*76.00,11.5,17.291252
KAS VELVET TERRACOTTA,75.00*33.50*68.50,11.0,16.850328
LOWRY DARK BLUE,74.00*70.00*69.00,12.9,18.5258392
LOWRY DARK GREEN,74.00*70.00*69.00,12.9,18.5258392
LOWRY GREY,74.00*70.00*69.00,12.9,18.5258392
LOWRY PINK,74.00*70.00*69.00,12.9,18.5258392
MOONEY GREY A,82.00*54.00*67.50,17.1,17.2296008
MOONEY NAVY BLUE A,82.00*54.00*67.50,17.1,17.2296008
PEARCE,83.50*71.00*76.50,21.3,20.9333624
PEARCE PATTERN A,83.50*71.00*76.50,21.3,20.9333624
PEARCE PATTERN B,83.50*71.00*76.50,21.3,20.9333624
REDDISH,80.00*48.00*66.00,21.0,20.668808
TREMONT YELLOW,68.00*59.00*65.00,18.0,18.023263999999998
WING CORAL,78.00*73.00*39.00,16.0,16.259567999999998
WING GREY,78.00*73.00*39.00,16.0,16.259567999999998
WING WHITE,78.00*73.00*39.00,16.0,16.259567999999998
ZACK SUEDE,74.00*71.50*63.00,14.5,14.936796
ADRIA COFFEE TABLE SET BLACK LEG,82.00*42.00*20.00,10.0,15.96848
ANONYMOUS LMKZ,58.00*56.00*14.50,9.0,12.086631999999998
AURORA COFFEE TABLE A,94.00*71.00*19.00,18.24,18.234907519999997
AURORA COFFEE TABLE LMKZ,94.00*71.00*19.00,18.24,18.234907519999997
BRISSETT,78.00*45.00*7.00,4.2,7.8537616
DEMAIO B,85.00*64.00*12.00,14.0,14.495871999999999
GRAIN MDF DB HM,124.00*73.00*10.00,20.2,19.963329599999998
HUDD LMKZ,94.00*90.00*9.00,21.6,21.1979168
HUSSAINI HM,134.00*70.00*11.50,28.2,22.0181136
KAUWHATA MDF JM,68.00*61.00*10.00,10.3,16.2330344
KONYA MARBLE,57.00*53.00*6.00,4.7,8.2946856
KRAVETS,113.00*70.00*12.00,27.0,20.959896
LIVERPOOL COFFEE TABLE BLACK,132.50*50.50*16.50,22.0,21.550656
LIVERPOOL COFFEE TABLE WHITE,132.50*50.50*16.50,22.0,21.550656
